,Shares Outstanding,Float Shares,Float Percentage,IO%,Insider%,Months Left,Accumulated Deficit,Net Working Capital
212,19940000.0,17076616.0,0.8564,2.96,11.4,8.206233776317928,-57671052.0,11437620.0
213,20960000.0,16973408.0,0.8098,9.43,9.59,13.900225394440275,-64188000.0,13046000.0
214,237300000.0,225126510.0,0.9487,0.59,4.54,0.10029087210410437,-248482826.0,-29303745.0
215,13430000.0,6712314.0,0.4998,0.06,49.96,1.4801543733470968,-12215642.0,2194965.0
216,20960000.0,16973408.0,0.8098,9.43,9.59,13.900225394440275,-64188000.0,13046000.0
217,20160000.0,14541408.000000002,0.7213,27.26,0.61,9.505833680125482,-71585003.0,25782040.0
218,45740000.0,37877294.0,0.8281,15.09,2.1,1.8032062879427493,-334319000.0,-10499000.0
219,90320000.0,71659888.0,0.7934,17.52,3.14,3.2515656966808684,-398106000.0,58077000.0
220,17690000.0,16296028.0,0.9212,6.97,0.91,2.800053808175876,-174524983.0,1728762.0
221,131630000.0,117729872.0,0.8944,8.19,2.37,15.856473363072348,-413145000.0,28381000.0
222,26890000.0,20742946.0,0.7714,8.31,14.55,0.15474006116207953,-5600000.0,125400000.0
223,68580000.0,63066168.0,0.9196,5.4,2.64,2.374159615824377,-298821000.0,-9424000.0
224,17690000.0,16296028.0,0.9212,6.97,0.91,2.800053808175876,-174524983.0,1728762.0
225,131630000.0,117729872.0,0.8944,8.19,2.37,15.856473363072348,-413145000.0,28381000.0
226,94600000.0,56126179.99999999,0.5932999999999999,35.04,5.63,0.20586336502321467,-37219000.0,199203000.0
227,19640000.0,19431816.0,0.9894,0.12,0.94,0.7542480606837826,-12618666.0,-14424137.0
228,13120000.0,11886720.0,0.9059999999999999,9.01,0.39,6.25160797501605,-245717189.0,8333785.0
229,91460000.0,46736060.0,0.511,46.58,2.32,0.10593204775022956,-2385112000.0,-219431000.0
230,47400000.0,24230880.000000004,0.5112000000000001,46.48,2.4,7.042549145979796,-217238000.0,9259000.0
231,20960000.0,17206064.0,0.8209,8.31,9.6,12.81445664614133,-126196000.0,60785000.0
232,128460000.0,116937138.0,0.9103,7.97,1.0,2.9074603308813165,-376177000.0,-41677000.0
233,143450000.0,127541395.0,0.8891,8.69,2.4,4.313553113553114,-572599000.0,-6619000.0
234,52140000.0,5808396.000000003,0.11140000000000004,3.94,84.92,0.4770666501127734,-235260000.0,5995000.0
235,30950000.0,28040700.0,0.9059999999999999,9.01,0.39,4.2219591242318435,-169504981.0,5791444.0
236,28040000.0,27218428.0,0.9707,0.2,2.73,,,
237,4244000.0,3144379.6,0.7409,3.45,22.46,5.149220818490903,-162856000.0,109657000.0
238,14970000.0,13318809.0,0.8897,8.77,2.26,11.002312891929309,-59911000.0,25158000.0
239,68890000.0,49690357.0,0.7213,27.26,0.61,2.496887550200803,-625872000.0,185287000.0
240,75680000.0,44673904.0,0.5903,17.36,23.61,12.182648401826484,-79000000.0,338000000.0
241,20940000.0,5942771.999999999,0.28379999999999994,0.0,71.62,11.236630823342624,-6698145.0,1105913.0
242,126610000.0,63229033.99999999,0.4994,9.02,41.04,5.373307138091369,-102090292.0,6959666.0
243,32140000.0,22597634.000000004,0.7031000000000002,25.12,4.57,4.20524742146076,377291000.0,37966000.0
244,134150000.0,124464370.0,0.9278,4.42,2.8,5.243607006980049,-104597748.0,6773725.0
245,131630000.0,117729872.0,0.8944,8.19,2.37,15.856473363072348,-413145000.0,28381000.0
246,13430000.0,6712314.0,0.4998,0.06,49.96,1.4801543733470968,-12215642.0,2194965.0
247,43160000.0,10177128.0,0.2358,19.7,56.72,3.484064848206613,-188789459.0,10965262.0
248,38820000.0,33672468.0,0.8674,5.44,7.82,4.67917619989713,-83479098.0,17388703.0
249,86110000.0,49056867.0,0.5697,13.78,29.25,12.398218755764013,-436234000.0,110636000.0
250,11620000.0,10753148.0,0.9254,0.24,7.22,0.0,-16092617.0,
251,99410000.0,40608985.0,0.4085,23.48,35.67,0.4218354651569162,-337780000.0,-24709000.0
252,8862000.0,7676264.3999999985,0.8662,5.56,7.82,9.701783797248474,-7828948.0,4123043.0
253,122200000.0,99922940.0,0.8177,17.76,0.47,18.012779607741823,-235574000.0,86103000.0
254,40330000.0,16196528.000000002,0.4016000000000001,54.15,5.69,3.2599700852723936,-580390000.0,-38636000.0
255,30950000.0,27994275.0,0.9045,9.16,0.39,4.2219591242318435,-169504981.0,5791444.0
256,43700000.0,20263690.0,0.4637,30.02,23.61,12.182648401826484,-79000000.0,338000000.0
257,49120000.0,21794544.0,0.4437,50.75,4.88,2.143850411772647,1054700000.0,-192300000.0
258,43700000.0,20263690.0,0.4637,30.02,23.61,12.182648401826484,-79000000.0,338000000.0
259,134150000.0,123136285.0,0.9179,3.77,4.44,5.243607006980049,-104597748.0,6773725.0
260,31860000.0,29703078.0,0.9323,2.12,4.65,0.5364156724745278,-25350392.0,-5166264.0
261,28960000.0,24028112.0,0.8297,14.93,2.1,4.878497473469103,-175525612.0,1181249.0
262,43700000.0,20263690.0,0.4637,30.02,23.61,12.182648401826484,-79000000.0,338000000.0
263,38820000.0,33625884.0,0.8662,5.56,7.82,4.67917619989713,-83479098.0,17388703.0
264,51360000.0,47302560.0,0.9209999999999999,6.76,1.14,6.155115264797508,-343807000.0,14406000.0
265,24100000.0,20284970.0,0.8417,15.49,0.34,14.849301206002993,-182591000.0,155652000.0
266,36560000.0,18828400.0,0.515,46.1,2.4,7.042549145979796,-217238000.0,9259000.0
267,174180000.0,160402362.0,0.9209,6.97,0.94,12.103693412064375,-403399000.0,15182000.0
268,4037000.0,1341898.7999999996,0.3323999999999999,0.43,66.33,0.7365966401048675,-168160000.0,-929000.0
269,38500000.0,3341799.9999999963,0.08679999999999988,8.45,82.87,1.40686930364118,-435357000.0,22428000.0
270,53080000.0,44778288.0,0.8436,13.33,2.31,6.95775728243996,-168169000.0,19559000.0
271,65069999.0,40792382.3731,0.6269,33.42,3.89,4.366456098131622,-119587000.0,-21861000.0
272,68890000.0,50172587.0,0.7283,26.56,0.61,2.496887550200803,-625872000.0,185287000.0
273,17810000.0,14809015.0,0.8315,0.94,15.91,10.576433454493227,-50464920.0,-2362974.0
274,30950000.0,27994275.0,0.9045,9.16,0.39,4.2219591242318435,-169504981.0,5791444.0
275,109380000.0,80470866.0,0.7357,18.6,7.83,1.4475432975360525,-362237000.0,9129000.0
276,29960000.0,27593160.0,0.9209999999999999,6.76,1.14,6.155115264797508,-343807000.0,14406000.0
277,17690000.0,16290721.0,0.9209,6.97,0.94,2.800053808175876,-174524983.0,1728762.0
278,73720000.0,59189787.99999999,0.8029,9.63,10.08,10.081092111744423,-2263563000.0,17092000.0
279,125740000.0,116799886.0,0.9289,0.87,6.24,3.9848408518433716,-217070000.0,8813000.0
280,47890000.0,26981226.0,0.5633999999999999,31.76,11.9,11.429980219037972,-265067000.0,47900000.0
